"microchip;species;sex;size;potentDangerous;neighborhood"
"97810108191876;FELINO;HEMBRA;PEQUEÑO;NO;USAQUEN"
"900032001933212;CANINO;MACHO;PEQUEÑO;NO;USAQUEN"
"900113000007963;CANINO;MACHO;MEDIANO;NO;USAQUEN"
"900113000009612;CANINO;MACHO;PEQUEÑO;NO;USAQUEN"
"900113000295781;CANINO;MACHO;GRANDE;NO;USAQUEN"
"900113000295784;CANINO;MACHO;GRANDE;NO;USAQUEN"
